coin,date,price,market_cap_billion,total_volume_billion,daily_pct_change
solana,2024-07-07,141.799327454272,65.64012450025969,21.59368894925262,0.5216379487122059
solana,2024-07-14,138.80886055784842,64.38552652446944,18.23542886802059,-0.05413342614952895
solana,2024-07-21,160.91363009385236,74.72040993003326,21.000376648979692,3.0485437483638456
solana,2024-07-28,179.13339812036347,83.17860034333344,27.629472274580515,0.9262050683602022
solana,2024-08-04,168.82443902289452,78.51580636114271,28.84082076306452,-3.528793642080197
solana,2024-08-11,147.06551516742735,68.4731970163277,48.43222555290789,1.2635844266475258
solana,2024-08-18,143.1894668376639,66.80062418562952,22.039830623477716,-1.1115832270752872
solana,2024-08-25,146.98612038081274,68.52694301253636,18.906523230617967,1.8455104838277185
solana,2024-09-01,145.6821888184081,67.95361331340112,19.7561348712557,-2.4063723175281635
solana,2024-09-08,129.53943601284672,60.48305522386283,19.284213399728095,-0.7370827340621745
solana,2024-09-15,135.043598479177,63.19074322404399,14.655219384785248,1.0499608420689834
solana,2024-09-22,138.15875917092097,64.67989718765136,18.087570306356387,1.2979272301280376
solana,2024-09-29,151.5634935520011,71.01356934046622,20.675216748153744,0.7340652376155364
solana,2024-10-06,145.62631752990185,68.22975619368879,21.642608355685173,-1.2989393498393722
solana,2024-10-13,143.4261363101259,67.33841244159721,14.531898230351414,0.407592614938092
solana,2024-10-20,154.094705370009,72.38471190957526,18.523141564317,1.265904499713788
solana,2024-10-27,169.10757751599394,79.46926347397421,31.11473238598612,1.0264229839020629
solana,2024-11-03,172.84284285231024,81.3427211613598,25.412494746343615,-0.3619374917819162
solana,2024-11-10,181.45136992657868,85.56266453948444,40.811862562328066,2.8264278555403983
solana,2024-11-17,215.07005136334126,101.46468814988214,75.21084713937255,1.168162570405497
solana,2024-11-24,245.62785436294462,116.55656249808851,73.38780751414401,2.4729266573643303
solana,2024-12-01,240.1342133587605,114.0330818005386,48.24391199347166,-0.8854121689808684
solana,2024-12-08,234.3336370942952,111.43014691637659,60.95757871182192,0.08901719855728718
solana,2024-12-15,223.89842636126193,106.96039162260024,50.15645789780153,-1.0974893384610471
solana,2024-12-22,205.6012206429094,98.5040899941813,56.423608828357494,-2.6594568954349325
solana,2024-12-29,190.22495806946202,91.22845521309773,28.8030561112365,1.1258488377323477
solana,2025-01-05,200.84815967586002,96.80772422224547,26.422995529916612,1.5795981395692844
solana,2025-01-12,198.95833258778913,96.25268126037328,30.262371471926812,-1.9425992192638233
solana,2025-01-19,208.36341840101016,101.14574916229923,54.59123816528528,5.095856392393815
solana,2025-01-26,252.1649892412531,122.59212170536159,99.97012121915097,-0.2661628198601987
solana,2025-02-02,230.93844951721823,112.42946453978547,43.61706577265348,-2.483893014122207
solana,2025-02-09,200.46971821809606,97.59905419487669,52.374855733064365,-0.9094564437283721
solana,2025-02-16,197.62330010181202,96.44033995063911,27.73204524243768,-0.37041929117037947
solana,2025-02-23,174.5274215367245,85.2533636121361,30.504009506597672,-1.6601298833745948
solana,2025-03-02,149.48630785557708,73.84944265908149,29.91875546182081,-4.04241732872935
