coin,date,price,market_cap,total_volume,daily_pct_change
solana,2024-07-20 00:00:00,169.216310530705,78561627383.88539,4472680911.645818,6.415586780432925
solana,2024-07-21 00:00:00,174.10164864661212,80854762308.1409,2111299630.434342,2.8870373668977267
solana,2024-07-22 00:00:00,184.45124996312572,85429935644.31656,4015804659.3674765,5.944573987074064
solana,2024-07-23 00:00:00,178.98087466888327,83131628699.86516,3355000351.4047484,-2.9657566947017378
solana,2024-07-24 00:00:00,173.0332556528894,80374938686.50865,3948271727.5033097,-3.3230472401015065
solana,2024-07-25 00:00:00,178.01893576386516,82711015097.19257,3972470238.3003707,2.8813421397891226
solana,2024-07-26 00:00:00,171.69638408630425,79757334803.65512,5008783465.490734,-3.5516175009312034
solana,2024-07-27 00:00:00,183.08447393423776,85018101278.7471,3292350432.042273,6.632690553465137
solana,2024-07-28 00:00:00,184.66861277323875,85827248193.04897,4036791400.471603,0.8652502339275392
solana,2024-07-29 00:00:00,184.78835915686435,85867074048.95665,2337276737.241032,0.06484392871497491
solana,2024-07-30 00:00:00,182.5435212575425,84999082716.62422,4625426991.760574,-1.2148156461610382
solana,2024-07-31 00:00:00,179.0391933974778,83221052241.06827,3282604319.003352,-1.9197218482055023
solana,2024-08-01 00:00:00,171.97399127813304,79950614578.09938,3584555338.835737,-3.946176245141797
solana,2024-08-02 00:00:00,167.8878366549297,78136018435.09514,5413794223.966175,-2.3760305804584103
solana,2024-08-03 00:00:00,152.41068415516077,70897108855.05199,5270915155.685125,-9.218745567363584
solana,2024-08-04 00:00:00,143.12748726015352,66539693653.10327,4326247996.572523,-6.090909535946021
solana,2024-08-05 00:00:00,137.55503532710202,64069506751.66353,5254540267.45,-3.8933485382320776
solana,2024-08-06 00:00:00,129.6977057929065,60385581799.65134,16968925434.656973,-5.712135157765042
solana,2024-08-07 00:00:00,143.64341390089055,66888724877.82549,6966233301.523892,10.75247092670375
solana,2024-08-08 00:00:00,145.14244971442133,67833484660.8793,6502915916.986337,1.0435813051373755
solana,2024-08-09 00:00:00,163.04650728359596,75605989422.61879,6758056552.040139,12.335507361493626
solana,2024-08-10 00:00:00,156.48102610362196,72748882742.7244,3855610171.4743857,-4.026753647997062
solana,2024-08-11 00:00:00,153.89246804945327,71780208858.93105,2125943908.7761607,-1.6542312628078926
solana,2024-08-12 00:00:00,141.47128798826427,65970515368.134636,3023585724.110306,-8.071337225677254
solana,2024-08-13 00:00:00,146.52219296049833,68410924515.65011,4393744279.483663,3.5702685994157823
solana,2024-08-14 00:00:00,146.771846931375,68523383455.0084,2815066563.4095407,0.17038645534330765
solana,2024-08-15 00:00:00,143.8673185637519,67161503325.74234,3299796280.89426,-1.9789410764730286
solana,2024-08-16 00:00:00,142.88162536670714,66618864444.49498,3650888706.8002696,-0.6851404522479898
solana,2024-08-17 00:00:00,139.1231866703018,64863103906.70795,3346024393.6814594,-2.630456286285421
solana,2024-08-18 00:00:00,141.68880938274887,66056074283.6682,1510724675.0982165,1.8441373963975938
solana,2024-08-19 00:00:00,142.46608358914975,66473085149.04257,2449782934.9464426,0.5485784020537565
